,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,13,CK,1587315342,83,-21.21,-159.78,77.0,4.7
1,Busselton,97,AU,1587315342,59,-33.65,115.33,55.99,14.7
2,Vardø,75,NO,1587315343,74,70.37,31.11,37.4,10.29
3,Qaanaaq,68,GL,1587315343,89,77.48,-69.36,17.53,8.03
4,Rikitea,59,PF,1587315343,70,-23.12,-134.97,76.75,7.87
5,São Filipe,13,CV,1587315132,74,14.9,-24.5,72.03,23.78
6,Kuusamo,20,FI,1587315155,86,65.97,29.18,37.4,4.7
7,Saint Paul Harbor,90,US,1587315514,87,57.79,-152.41,42.8,9.55
8,Mataura,93,NZ,1587315343,85,-46.19,168.86,43.0,4.0
9,Mattru,100,SL,1587315343,65,7.62,-11.83,85.35,6.6
10,West Wendover,90,US,1587315344,50,40.74,-114.07,51.8,10.29
11,Hermanus,59,ZA,1587315344,82,-34.42,19.23,64.99,13.29
12,Carnarvon,38,AU,1587315344,83,-24.87,113.63,73.4,13.87
13,Sterling,1,US,1587315344,38,39.01,-77.43,63.0,10.29
14,Plastun,100,RU,1587315515,83,44.76,136.29,38.39,3.51
15,Vangaindrano,1,MG,1587315515,91,-23.35,47.6,71.17,5.93
16,Lavrentiya,100,RU,1587315345,91,65.58,-171.0,16.23,6.91
17,Ostrovnoy,97,RU,1587315345,95,68.05,39.51,30.65,10.69
18,Albany,1,US,1587315055,28,42.6,-73.97,60.01,5.01
19,Butaritari,14,KI,1587315345,75,3.07,172.79,83.07,12.5
20,Lebu,100,CL,1587315222,60,-37.62,-73.65,61.47,8.14
21,Saint-Augustin,79,CA,1587315345,94,51.23,-58.65,31.71,12.88
22,Den Helder,0,NL,1587315516,66,52.96,4.76,55.0,21.92
23,Soto la Marina,14,MX,1587315345,50,23.77,-98.22,93.99,14.0
24,Cidreira,0,BR,1587315346,65,-30.18,-50.21,72.5,14.12
25,Caravelas,74,BR,1587315346,76,-17.71,-39.25,77.41,19.39
26,Hambantota,99,LK,1587315346,81,6.12,81.12,82.72,8.77
27,Puerto Ayora,40,EC,1587315343,74,-0.74,-90.35,84.2,13.87
28,Arraial do Cabo,40,BR,1587315347,65,-22.97,-42.03,78.8,8.05
29,Sørland,75,NO,1587315347,87,67.67,12.69,42.8,13.87
30,Punta Arenas,40,CL,1587315200,65,-53.15,-70.92,44.6,44.96
31,Kalmunai,81,LK,1587315347,78,7.42,81.82,82.74,5.01
32,Cape Town,20,ZA,1587315165,88,-33.93,18.42,66.99,19.46
33,Jamestown,1,US,1587315128,50,42.1,-79.24,51.8,18.34
34,Tomé,91,CL,1587315348,63,-36.62,-72.95,64.4,5.82
35,Beringovskiy,100,RU,1587315348,96,63.05,179.32,16.25,15.46
36,Paranaíba,54,BR,1587315348,57,-19.68,-51.19,81.81,4.81
37,Hilo,40,US,1587315192,68,19.73,-155.09,66.99,8.05
38,Narsaq,20,GL,1587315348,50,60.92,-46.05,33.8,2.24
